probe_id	gene	chrom	chromStart	chromEnd	strand	functional_region	is_promoter	dist_to_tss	cgi_relation	cgi_id	probe_class	annotation_source
cg00991875		chr6	160679343	160679345	-	intergenic	False	0.0	Island		reference_real_stats	published_manifest
cg07149609	PRRX1	chr1	170661592	170661594	+	TSS1500	True	-1135.0	Island		reference_real_stats	published_manifest
cg26354493	FSD1	chr19	4305074	4305076	-	5UTR_1stExon	False	375.0	Island		reference_real_stats	published_manifest
cg09887059	LHX5-AS1	chr12	113478858	113478860	-	gene_body	False	6856.0	Island		reference_real_stats	published_manifest
cg11213690		chr7	149415310	149415312	-	intergenic	False	0.0	Island		reference_real_stats	published_manifest
cg27092191	ZNF267	chr16	31873377	31873379	+	TSS1500	True	-429.0	N_Shore		reference_real_stats	published_manifest
cg10168086		chr16	26488644	26488646	+	intergenic	False	0.0	OpenSea		reference_real_stats	published_manifest
cg01952226	GRHL2	chr8	101495153	101495155	+	gene_body	False	16493.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg02027945	AC090707.2	chr11	20596683	20596685	+	5UTR_1stExon	False	296.0	Island		reference_real_stats	published_manifest
cg08364561	AL035078.4,PAUPAR	chr11	31825296	31825298	-	TSS1500	True	-1026.0	N_Shore		reference_real_stats	published_manifest
cg12134633	AC123768.4,SCG5	chr15	32641802	32641804	+	5UTR_1stExon	False	101.0	OpenSea		reference_real_stats	published_manifest
cg17279458	ZNF502	chr3	44712455	44712457	+	TSS200	True	-187.0	N_Shore		reference_real_stats	published_manifest
cg13539545	C14orf39	chr14	60507104	60507106	-	gene_body	False	8439.0	Island		reference_real_stats	published_manifest
cg17485838	AC004079.1,AC004079.2;AC004079.4;AC004079.5;HOTAIRM1	chr7	27099092	27099094	+	5UTR_1stExon	False	193.0	S_Shore		reference_real_stats	published_manifest
cg04865841	WRAP73	chr1	3650427	3650429	+	intergenic	False	5177.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg06962177		chr1	63320274	63320276	+	intergenic	False	0.0	Island		reference_real_stats	published_manifest
cg12598524	PRKCE	chr2	45861185	45861187	+	gene_body	False	185567.0	OpenSea		reference_real_stats	published_manifest
cg10528576	DLK1	chr14	100726575	100726577	+	TSS1500	True	-316.0	Island		reference_real_stats	published_manifest
cg15613420	AC026691.1,MACROH2A1	chr5	135399946	135399948	-	TSS200	True	-32.0	S_Shore		reference_real_stats	published_manifest
cg11799593	LINC02384	chr12	68452088	68452090	-	TSS1500	True	-425.0	OpenSea		reference_real_stats	published_manifest
cg09170112		chr12	131617642	131617644	+	intergenic	False	0.0	OpenSea		reference_real_stats	published_manifest
cg27393010		chr7	122300161	122300163	-	intergenic	False	0.0	Island		reference_real_stats	published_manifest
cg23205034	CPQ	chr8	97104218	97104220	-	gene_body	False	74750.0	OpenSea		reference_real_stats	published_manifest
cg12438155		chr1	4163832	4163834	+	intergenic	False	0.0	S_Shelf		reference_real_stats	published_manifest
cg03582419	AC097518.2,LINC02509	chr4	176883622	176883624	-	gene_body	False	7874.0	OpenSea		reference_real_stats	published_manifest
cg08604097	NXPH1	chr7	8441234	8441236	+	gene_body	False	6040.0	N_Shore		reference_real_stats	published_manifest
cg16370398	HOXC4	chr12	54055128	54055130	-	gene_body	False	1294.0	S_Shore		reference_real_stats	published_manifest
cg09165441		chr10	101284436	101284438	+	intergenic	False	0.0	Island		reference_real_stats	published_manifest
cg07790615	RYR2	chr1	237041873	237041875	+	TSS1500	True	-310.0	Island		reference_real_stats	published_manifest
cg00106345	AC004079.1,AC004079.2;AC004079.4;AC004079.5;HOTAIRM1	chr7	27098776	27098778	-	TSS200	True	-62.0	S_Shore		reference_real_stats	published_manifest
cg26014538	ZIC1	chr3	147408975	147408977	+	TSS1500	True	-389.0	N_Shore		reference_real_stats	published_manifest
cg21026830	C14orf39	chr14	60506798	60506800	-	gene_body	False	8745.0	N_Shore		reference_real_stats	published_manifest
cg00334063	ZIC4	chr3	147388222	147388224	+	gene_body	False	4169.0	N_Shelf		reference_real_stats	published_manifest
cg04311653		chr10	131405977	131405979	+	intergenic	False	0.0	OpenSea		reference_real_stats	published_manifest
cg27555582	ABCC9	chr12	21941074	21941076	+	5UTR_1stExon	False	159.0	Island		reference_real_stats	published_manifest
cg27071152	AC004837.1,AC004837.3;YAE1	chr7	39609843	39609845	-	5UTR_1stExon	False	127.0	Island		reference_real_stats	published_manifest
cg18322569	BARHL2	chr1	90717219	90717221	-	5UTR_1stExon	False	83.0	Island		reference_real_stats	published_manifest
cg03738025	LIN28B,LIN28B-AS1	chr6	104940818	104940820	-	TSS200	True	-47.0	Island		reference_real_stats	published_manifest
cg08732352	AC009531.1	chr7	35258779	35258781	-	gene_body	False	950.0	S_Shore		reference_real_stats	published_manifest
cg12041100	RAPGEFL1	chr17	40180935	40180937	+	intergenic	False	13639.0	Island		reference_real_stats	imputed_from_region_mix
cg05016408	ZNF300P1	chr5	150946611	150946613	+	TSS1500	True	-322.0	Island		reference_real_stats	published_manifest
cg02710296	SHCBP1L	chr1	182952715	182952717	-	5UTR_1stExon	False	34.0	Island		reference_real_stats	published_manifest
cg13782274	KCNQ2	chr20	63466327	63466329	-	5UTR_1stExon	False	177.0	Island		reference_real_stats	published_manifest
cg15959252	CCDC184	chr12	48184940	48184942	+	gene_body	False	1297.0	S_Shore		reference_real_stats	published_manifest
cg04917275		chr2	593390	593392	-	intergenic	False	0.0	OpenSea		reference_real_stats	published_manifest
cg14858267	AC006058.2	chr3	43996267	43996269	-	TSS1500	True	-628.0	Island		reference_real_stats	published_manifest
cg00002719	CCDC181	chr1	169427467	169427469	-	TSS200	True	-5.0	Island		reference_real_stats	published_manifest
cg19619405	ADAMTS20	chr12	43552088	43552090	-	5UTR_1stExon	False	115.0	Island		reference_real_stats	published_manifest
cg06335867	NXPH1	chr7	8442694	8442696	-	gene_body	False	7500.0	Island		reference_real_stats	published_manifest
cg08304190	MIR663A,MIR663AHG	chr20	26208360	26208362	-	5UTR_1stExon	False	74.0	Island		reference_real_stats	published_manifest
cg05809668		chr7	35261576	35261578	+	intergenic	False	0.0	Island		reference_real_stats	published_manifest
cg06463958	LNCDAT,TBXT	chr6	166168904	166168906	+	TSS1500	True	-204.0	Island		reference_real_stats	published_manifest
cg18423935	AC072026.2,STXBP5L	chr3	120907819	120907821	-	5UTR_1stExon	False	86.0	N_Shore		reference_real_stats	published_manifest
cg03502002	GALR1	chr18	77250176	77250178	+	5UTR_1stExon	False	329.0	Island		reference_real_stats	published_manifest
cg13916459	ALX1	chr12	85279442	85279444	-	TSS1500	True	-777.0	N_Shore		reference_real_stats	published_manifest
cg26210445	TBR1	chr2	161416814	161416816	-	5UTR_1stExon	False	484.0	Island		reference_real_stats	published_manifest
cg05422029	AL021808.1	chr6	27268063	27268065	-	TSS200	True	-49.0	OpenSea		reference_real_stats	published_manifest
cg01764252	AC008525.1,MEF2C-AS2	chr5	88695253	88695255	-	TSS1500	True	-212.0	OpenSea		reference_real_stats	published_manifest
cg25547580	ONECUT2	chr18	57436501	57436503	-	gene_body	False	1128.0	Island		reference_real_stats	published_manifest
cg13804575	ZNF462	chr9	106864717	106864719	-	gene_body	False	1552.0	S_Shelf		reference_real_stats	published_manifest
cg18675097	NKAPL	chr6	28259348	28259350	-	5UTR_1stExon	False	52.0	Island		reference_real_stats	published_manifest
cg17239057	AC092809.3,DEGS1	chr1	224175872	224175874	-	5UTR_1stExon	False	117.0	OpenSea		reference_real_stats	published_manifest
cg09578475	ZNF177,ZNF559-ZNF177	chr19	9363011	9363013	-	TSS200	True	-8.0	Island		reference_real_stats	published_manifest
cg26132320	MMP9	chr20	46011713	46011715	-	gene_body	False	2806.0	Island		reference_real_stats	published_manifest
cg14861089	TLX1	chr10	101135285	101135287	+	gene_body	False	972.0	Island		reference_real_stats	published_manifest
cg19760241	AC243773.1,LHX1	chr17	36942712	36942714	-	5UTR_1stExon	False	415.0	Island		reference_real_stats	published_manifest
cg06355129	NES	chr1	156676500	156676502	-	gene_body	False	907.0	Island		reference_real_stats	published_manifest
cg20286956	MACF1	chr1	39082245	39082247	+	gene_body	False	829.0	Island		reference_real_stats	published_manifest
cg07489502	PCDHGA1,PCDHGA10;PCDHGA11;PCDHGA12;PCDHGA2;PCDHGA3;PCDHGA4;PCDHGA5;PCDHGA6;PCDHGA7;PCDHGA8;PCDHGA9;PCDHGB1;PCDHGB2;PCDHGB3;PCDHGB4;PCDHGB5;PCDHGB6;PCDHGB7	chr5	141432074	141432076	-	gene_body	False	1486.0	Island		reference_real_stats	published_manifest
cg11157172	PRDM16	chr1	3293852	3293854	+	gene_body	False	49721.0	OpenSea		reference_real_stats	published_manifest
cg11589139	ACTA1	chr1	229431391	229431393	+	gene_body	False	14253.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg11030264		chr17	57136294	57136296	+	intergenic	False	0.0	OpenSea		reference_real_stats	published_manifest
cg11957331	TMEM145	chr19	42324003	42324005	-	gene_body	False	10627.0	Island		reference_real_stats	published_manifest
cg20494374		chr6	27557898	27557900	+	intergenic	False	0.0	OpenSea		reference_real_stats	published_manifest
cg20014398	PAX6	chr11	31804243	31804245	+	gene_body	False	13132.0	Island		reference_real_stats	imputed_from_region_mix
cg15300436	MYT1L,MYT1L-AS1	chr2	2318015	2318017	-	intergenic	False	27218.0	N_Shore		reference_real_stats	imputed_from_region_mix
cg00193200	AC072026.2,STXBP5L	chr3	120907805	120907807	-	gene_body	False	16616.0	S_Shelf		reference_real_stats	imputed_from_region_mix
cg24604013	SOX1,SOX1-OT	chr13	112067010	112067012	-	TSS200	True	-1217.0	N_Shore		reference_real_stats	imputed_from_region_mix
cg08380477		chr2	172092539	172092541	+	gene_body	False	10405.0	N_Shore		reference_real_stats	imputed_from_region_mix
cg26432869		chr8	122338972	122338974	+	intergenic	False	19418.0	Island		reference_real_stats	imputed_from_region_mix
cg18924324	PRDM13	chr6	99609266	99609268	-	gene_body	False	36037.0	S_Shore		reference_real_stats	imputed_from_region_mix
cg16206460	PGLYRP2	chr19	15469888	15469890	-	gene_body	False	23905.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg12172441		chr6	28208384	28208386	+	gene_body	False	39602.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg06998282	ENPP2	chr8	119639157	119639159	-	gene_body	False	30051.0	S_Shore		reference_real_stats	imputed_from_region_mix
cg13045134		chr8	102729551	102729553	-	TSS1500	True	-1036.0	Island		reference_real_stats	imputed_from_region_mix
cg00322927	OPCML	chr11	132837791	132837793	-	intergenic	False	39628.0	N_Shelf		reference_real_stats	imputed_from_region_mix
cg23960736		chr1	4111533	4111535	+	intergenic	False	23800.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg07792478	MIR124-2,MIR124-2HG	chr8	64377926	64377928	-	TSS200	True	-1045.0	N_Shelf		reference_real_stats	imputed_from_region_mix
cg07816556	H1-1	chr6	26017051	26017053	+	TSS1500	True	-575.0	S_Shore		reference_real_stats	imputed_from_region_mix
cg15811515	YBX3P1	chr16	31569667	31569669	-	gene_body	False	21521.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg04519387	OVOL1	chr11	65788966	65788968	+	gene_body	False	4697.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg25764899	TAL1	chr1	47232275	47232277	-	intergenic	False	18559.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg21624902		chr3	138960515	138960517	+	gene_body	False	1125.0	Island		reference_real_stats	imputed_from_region_mix
cg08047907	CCDC181	chr1	169427619	169427621	+	TSS200	True	-1199.0	S_Shore		reference_real_stats	imputed_from_region_mix
cg22425474	AL645929.2	chr6	29850308	29850310	+	gene_body	False	27447.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg15222899	AC090340.1	chr18	57428016	57428018	-	TSS1500	True	-96.0	N_Shelf		reference_real_stats	imputed_from_region_mix
cg11082691	TNFRSF19	chr13	23609526	23609528	-	TSS1500	True	-429.0	S_Shore		reference_real_stats	imputed_from_region_mix
cg24294041	STAP2	chr19	4329583	4329585	-	5UTR_1stExon	False	16278.0	N_Shore		reference_real_stats	imputed_from_region_mix
cg03692651		chr19	22261790	22261792	+	5UTR_1stExon	False	26533.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg07600533	KLHDC7B	chr22	50547601	50547603	-	gene_body	False	22717.0	N_Shore		reference_real_stats	imputed_from_region_mix
cg24281267	TULP1	chr6	35511870	35511872	-	TSS1500	True	-447.0	S_Shelf		reference_real_stats	imputed_from_region_mix
cg13023870	AL079303.1,AL132857.1	chr14	36654812	36654814	-	intergenic	False	31917.0	N_Shore		reference_real_stats	imputed_from_region_mix
cg11536474		chr2	63058913	63058915	-	TSS1500	True	-115.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg01851378	AC087564.1	chr16	51153013	51153015	-	gene_body	False	17853.0	Island		reference_real_stats	imputed_from_region_mix
cg15132565		chr5	73444326	73444328	-	gene_body	False	16225.0	S_Shore		reference_real_stats	imputed_from_region_mix
cg15425541	SIX1	chr14	60652032	60652034	+	gene_body	False	29783.0	Island		reference_real_stats	imputed_from_region_mix
cg14523847	DPP6	chr7	153887511	153887513	+	gene_body	False	12351.0	N_Shore		reference_real_stats	imputed_from_region_mix
cg24892966		chr6	27558243	27558245	-	intergenic	False	25414.0	Island		reference_real_stats	imputed_from_region_mix
cg07834841		chr10	128387077	128387079	-	gene_body	False	4811.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg05376227	BX284613.2,FMO6P	chr1	171142053	171142055	-	TSS1500	True	-837.0	S_Shelf		reference_real_stats	imputed_from_region_mix
cg00722320	ANKRD34C-AS1,MIR184	chr15	79209722	79209724	-	TSS1500	True	-748.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg18121066	TBCD,ZNF750	chr17	82836397	82836399	-	gene_body	False	30472.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg05970721	HS3ST2	chr16	22915303	22915305	-	TSS1500	True	-1369.0	Island		reference_real_stats	imputed_from_region_mix
cg01688536		chr7	35257356	35257358	+	5UTR_1stExon	False	14725.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg17508991	HCK	chr20	32051501	32051503	-	gene_body	False	36020.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg23075337	NXPH1	chr7	8441829	8441831	+	intergenic	False	34337.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg17538572	AL358613.3,CYP26A1	chr10	93075005	93075007	+	intergenic	False	25593.0	Island		reference_real_stats	imputed_from_region_mix
cg22396555		chr13	27928323	27928325	+	5UTR_1stExon	False	21386.0	S_Shore		reference_real_stats	imputed_from_region_mix
cg03970036	PTPRN	chr2	219309509	219309511	-	5UTR_1stExon	False	34885.0	N_Shore		reference_real_stats	imputed_from_region_mix
cg04111071	TMEM196	chr7	19773675	19773677	+	5UTR_1stExon	False	16779.0	S_Shelf		reference_real_stats	imputed_from_region_mix
cg05835105	PITX2	chr4	110622244	110622246	+	gene_body	False	29689.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg21334513		chr6	30127470	30127472	+	intergenic	False	3266.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg27494647	AC005586.1,RARRES2	chr7	150341808	150341810	-	TSS1500	True	-1131.0	Island		reference_real_stats	imputed_from_region_mix
cg17034390		chr6	30127548	30127550	+	intergenic	False	5349.0	Island		reference_real_stats	imputed_from_region_mix
cg01577083	RBFOX1	chr16	5436266	5436268	-	gene_body	False	15016.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg19540425	FGD4	chr12	32502901	32502903	+	gene_body	False	8366.0	S_Shore		reference_real_stats	imputed_from_region_mix
cg24833737	AC025839.1	chr8	141622350	141622352	-	gene_body	False	3468.0	Island		reference_real_stats	imputed_from_region_mix
cg10389812	IGF1R	chr15	98914932	98914934	+	TSS1500	True	-593.0	N_Shore		reference_real_stats	imputed_from_region_mix
cg21707187		chr12	53952077	53952079	+	TSS200	True	-820.0	Island		reference_real_stats	imputed_from_region_mix
cg17627629		chr5	180090139	180090141	+	gene_body	False	28094.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg09094964	LINC00940	chr12	1936878	1936880	-	5UTR_1stExon	False	14140.0	Island		reference_real_stats	imputed_from_region_mix
cg00742098		chr16	17817806	17817808	+	gene_body	False	11497.0	N_Shelf		reference_real_stats	imputed_from_region_mix
cg14072016	DIP2C	chr10	338711	338713	-	intergenic	False	12899.0	Island		reference_real_stats	imputed_from_region_mix
cg13387113	MXRA7	chr17	76700654	76700656	+	TSS1500	True	-601.0	N_Shore		reference_real_stats	imputed_from_region_mix
cg05057720	AL355835.1,CLEC14A	chr14	38255469	38255471	+	TSS200	True	-1421.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg06880420	NR5A2	chr1	200150858	200150860	+	TSS1500	True	-1075.0	Island		reference_real_stats	imputed_from_region_mix
cg23089825	PRRX1	chr1	170661416	170661418	+	gene_body	False	15636.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg17231999	LINC00682	chr4	41880546	41880548	-	gene_body	False	16694.0	Island		reference_real_stats	imputed_from_region_mix
cg17840719	ZNF454	chr5	178941251	178941253	+	5UTR_1stExon	False	932.0	Island		reference_real_stats	imputed_from_region_mix
cg13703871	ZNF177,ZNF559-ZNF177	chr19	9362997	9362999	+	TSS1500	True	-29.0	Island		reference_real_stats	imputed_from_region_mix
cg13028819		chr7	156364994	156364996	-	intergenic	False	18096.0	N_Shore		reference_real_stats	imputed_from_region_mix
cg27456203	WWP2	chr16	69890712	69890714	+	gene_body	False	25313.0	S_Shore		reference_real_stats	imputed_from_region_mix
cg01444716	AL035448.1,BTBD3	chr20	11917908	11917910	-	intergenic	False	20731.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg08104202	CCDC181	chr1	169427473	169427475	-	TSS1500	True	-70.0	S_Shelf		reference_real_stats	imputed_from_region_mix
cg24960947	GAL3ST3	chr11	66048991	66048993	-	TSS1500	True	-822.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg04150495	MIR663A,MIR663AHG	chr20	26209691	26209693	-	TSS200	True	-657.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg03940848		chr1	229407364	229407366	+	5UTR_1stExon	False	16140.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg09313140		chr12	127825047	127825049	+	intergenic	False	19229.0	Island		reference_real_stats	imputed_from_region_mix
cg24676817	AC008875.2	chr5	42995266	42995268	+	TSS1500	True	-411.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg21648069	ERC1	chr12	1048551	1048553	-	TSS1500	True	-240.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg24138857	TNXB	chr6	32087301	32087303	+	intergenic	False	16628.0	Island		reference_real_stats	imputed_from_region_mix
cg27170427	RIMBP2	chr12	130474165	130474167	-	5UTR_1stExon	False	38068.0	Island		reference_real_stats	imputed_from_region_mix
cg10940462	NRXN2	chr11	64711542	64711544	-	intergenic	False	21185.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg14416371	AC068205.1,AC068205.2;MIR129-2	chr11	43581296	43581298	+	gene_body	False	34439.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg09513990	AL021808.1	chr6	27268042	27268044	-	5UTR_1stExon	False	6294.0	Island		reference_real_stats	imputed_from_region_mix
cg24886257	ZNF350-AS1	chr19	51949193	51949195	+	intergenic	False	5897.0	N_Shore		reference_real_stats	imputed_from_region_mix
cg25881804	LINC00237	chr20	21101259	21101261	+	gene_body	False	2742.0	Island		reference_real_stats	imputed_from_region_mix
cg10216717	TMEM132C	chr12	128414744	128414746	+	5UTR_1stExon	False	4377.0	Island		reference_real_stats	imputed_from_region_mix
cg23200020	SCGB1B2P	chr19	34577649	34577651	+	gene_body	False	30493.0	S_Shore		reference_real_stats	imputed_from_region_mix
cg02721693	SHCBP1L	chr1	182953569	182953571	-	gene_body	False	30971.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg14231297	ZSCAN18	chr19	58118533	58118535	-	gene_body	False	3356.0	S_Shelf		reference_real_stats	imputed_from_region_mix
cg04868078	LHX9	chr1	197929098	197929100	-	TSS200	True	-1283.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg26132774	AL445209.1,OBI1-AS1	chr13	78596010	78596012	+	gene_body	False	19274.0	Island		reference_real_stats	imputed_from_region_mix
cg16596604	CRYM	chr16	21283625	21283627	+	TSS200	True	-1097.0	N_Shelf		reference_real_stats	imputed_from_region_mix
cg25025181	SMYD3	chr1	246215207	246215209	+	gene_body	False	10018.0	S_Shelf		reference_real_stats	imputed_from_region_mix
cg15215348	AC008397.2,PDE4C	chr19	18233709	18233711	+	TSS1500	True	-1103.0	Island		reference_real_stats	imputed_from_region_mix
cg11676353	MACF1	chr1	39082328	39082330	+	TSS200	True	-488.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg11642106		chr3	27731313	27731315	+	TSS200	True	-678.0	Island		reference_real_stats	imputed_from_region_mix
cg21523564	SCAMP5	chr15	74959149	74959151	+	TSS200	True	-115.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg20200460		chr10	128367236	128367238	+	5UTR_1stExon	False	17117.0	Island		reference_real_stats	imputed_from_region_mix
cg25691167	AC003986.1,FERD3L	chr7	19145337	19145339	-	TSS1500	True	-1095.0	Island		reference_real_stats	imputed_from_region_mix
cg17668981	MATR3,SIL1;SNHG4	chr5	139282114	139282116	-	5UTR_1stExon	False	2361.0	S_Shore		reference_real_stats	imputed_from_region_mix
cg05497345	ITPRIPL1	chr2	96325175	96325177	+	TSS200	True	-208.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg15232539	CSGALNACT1	chr8	19602160	19602162	-	intergenic	False	16718.0	Island		reference_real_stats	imputed_from_region_mix
cg24804195	LINC00461	chr5	88673025	88673027	-	intergenic	False	24922.0	S_Shore		reference_real_stats	imputed_from_region_mix
cg15065340	TNK2	chr3	195906043	195906045	-	5UTR_1stExon	False	24804.0	OpenSea		reference_real_stats	imputed_from_region_mix
